Distribution,Founder,Maintainer,Initial_Release_Year,Current_Stable_Version,Security_Updates,Release_Date,System_Distribution_Commitment,Forked_From,Target_Audience,Cost,Status
AlmaLinux,AlmaLinux Foundation,AlmaLinux Foundation,2021,8.4,10 years[2],2021-05-26,X,Red Hat Enterprise Linux (RHEL),"server, workstation",None,Active
Alpine Linux,Alpine Linux Team,Alpine Linux Team,2006,3.14.1[3],?,2021-08-04,X,LEAF Project,"security, lightweight, general",None,Active
ALT Linux,ALT Linux Team,"ALT Linux Team, ALT Linux LLC",2001,9.2[4],?,2020-07-29,X,Mandrake Linux,"general, school",None,Active
antiX,Anticapitalista,Anticapitalista,2007,19.4[5],?,2021-05-21,X,"Debian, MEPIS",old computers,None,Active
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,?,X,Arch Linux (UKM Edition),general,None,Active
Arch Linux,Judd Vinet,dev team,2002,Rolling,Rolling,Rolling,X,"Independent, inspired from CRUX",general,None,Active
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,2002,140k,?,2011-05-04,100% Free: GNU FSDG[6],Fedora,desktop,None,Inactive
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,2011,6.0.0[7],?,2021-05-12,X,"Debian, Ubuntu","desktop, lightweight",None,Active
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,2007,6.1[8],?,2020-06-24,X,"Debian, Ubuntu",Government of Venezuela,None,Active
CentOS,CentOS Project,CentOS Project,2003,8.2-2105,10 years[9],2021-07-03,X,Red Hat Enterprise Linux (RHEL),"server, workstation",None,Active
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,2010,Rolling,Rolling,?,X,Arch Linux[10],desktop,None,Active
Chrome OS,Sundar Pichai,Google,2011,92.0.4515.130[11],Rolling,2021-08-02,X,-,web applications,None,Active
Clear Linux OS,Arjan van de Ven,Intel,2015,Rolling,Rolling,Rolling,X,Independent,"container, server, desktop",None,Active
ClearOS,Peter Baldwin,ClearFoundation,2000,7.8[12],?,2020-06-23,X,"RHEL, CentOS","server, gateway, network",Some editions are free of charge,Active
CrunchBang Linux,Philip Newborough,Philip Newborough,2008,11[13],?,2013-05-06,X,Debian,desktop,None,Inactive
Damn Small Linux,John Andrews,dev team,2003,4.4.10[14],?,2008-11-18,X,"Debian, Knoppix","lightweight, portable",None,Inactive
Debian,Ian Murdock,Debian Project,1993,11.1[15],~3 years[g 1],2021-10-09,"Debian Social Contract and DFSG (main is 100% free, non-free packages are optional)[16]","Independent, inspired by Softlanding Linux System (SLS)[17]","general, server, desktop",None,Active
Debian Edu,,Debian Project,2004,11.0[18],~3 years[g 1],2021-08-14,Debian Social Contract and DFSG,Debian,schools,None,Active
Devuan,"The ""Veteran Unix Admins"" (VUA)","The ""Veteran Unix Admins"" (VUA)",2016,3.1.0[19],?,2021-02-14,X[g 2],Debian,general,None,Active
Deepin,"Wuhan Deepin Technology Co., Ltd.","Wuhan Deepin Technology Co., Ltd.",2004,20.2[20],?,2021-04-28,X,Debian,general,None,Active
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,2009,3.0-beta1[21],?,2019-10-16,100% Free: GNU FSDG[6],"Independent, inspired from Slackware",general,None,Active
dyne:bolic,Jaromil,Jaromilx,2005,3.0.0,?,2011-09-08,100% Free: GNU FSDG[6],Debian,multimedia,None,Inactive
Elementary OS,Daniel Foré,elementary LLC,2011,5.1.7[22],?,2020-02-05,X,"Ubuntu, Debian",general,None,Active
ELinOS,SYSGO,SYSGO,1999,7.0[23],?,2020-03-01,X,–,embedded systems,Partial,Active
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,2009,3.1,End-of-life,2013-06-15,X,Debian,embedded systems,None,Inactive
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,2019,Rolling,?,2020-07-15,X,Arch Linux,general,None,Active
Fedora,Fedora Project,Fedora Project,2003,34[24],1 year,2021-04-27,Fedora Licensing Guidelines[25],Red Hat Linux,general,None,Active
Freespire,"Lindows.com, Inc.",PC/OpenSystems LLC,2001,7.7[26],?,2021-07-30,X,Ubuntu,desktop,None,Active
Gentoo Linux,Daniel Robbins,"Gentoo Foundation, Inc.",2002,Rolling,Rolling,Rolling,Gentoo Social Contract,Enoch Linux,general,None,Active
Guix System,Ludovic Courtès,"Ludovic Courtès, Ricardo Wurmus, the Guix community",2012,1.3.0[27],Rolling,2021-05-11,100% Free: GNU FSDG[6],–,general,None,Active
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,2006,4.0 (Ucclia)[28],?,2016-05-02,100% Free: GNU FSDG[6],Debian,"general, server",None,Inactive
Grml,Michael Prokop,The Grml Team,2005,2020.06[29],?,2020-06-24,X,Debian,"live, maintenance, security, network, forensic, accessibility",None,Active
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,2017,0.3[30],"3 years (stable), 5 years (old stable)[31]",2019-09-23,100% Free: GNU FSDG[6] followed in Hyperbola Social Contract,Arch Linux,general,None,Inactive[32]
Kali Linux,"Max Moser, Mati Aharoni, Martin J. Muench",Offensive Security,2013,2020.2[33],?,2020-05-12,X,Debian,"auditing, forensic, security, network",None,Active
Knoppix,Klaus Knopper,dev team,2000,8.6[34],?,2019-08-08,X,Debian,live,None,Active
Kodibuntu,The XBMC Project,Team Kodi,2008,?,?,?,X,"Debian, Ubuntu",multimedia,None,Inactive
Korora,Chris Smart,Dev Team,2005,26[35],?,2017-09-16,X,Fedora,desktop,None,Inactive
LibreCMC,LibreCMC team,LibreCMC team,2010,1.5.4[36],?,2020-12-31,100% Free: GNU FSDG[6],Merged from LibreWRT,embedded systems,None,Active
Linspire,"Linspire, Inc.","Linspire, Inc.",2001,9.5[37],?,2020-03-03,X,Ubuntu,?,Commercial[38],Active
Linux Mint,Clement Lefebvre,dev team,2006,20.2[39],~3 years (LMDE); 5 years (main editions),2021-07-08,X,"Debian(LMDE), Ubuntu (main editions)",desktop,None,Active
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,5.0[40],?,2020-05-31,X,Ubuntu,desktop,None,Active
Mageia,Mageia Community,mageia.org,2010,7.1[41],1 year,2019-07-01,X,Mandriva Linux,general,None,Active
Mandriva Linux,Mandrakesoft S.A.,Mandriva S.A.,1998,2011,?,2011-08-28,X,Red Hat Linux,general,Some editions are free of charge,Inactive
Manjaro Linux,Roland Singer,dev team,2012[42],Rolling,Rolling,Rolling,X,Arch Linux,general,None,Active
MEPIS,Warren Woodford,MEPIS LLC,2003,11.9.90,?,?,X,Debian,"desktop, server",None,Inactive
Musix GNU+Linux,Musix team,Musix team,2008,3.0.1,?,2014-03-13,100% Free: GNU FSDG[6],Debian,multimedia,None,Inactive
Netrunner,Blue Systems,dev team,2009,20.01[43],as per Debian,2020-02-23,X,Debian,desktop,None,Active
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,2003,21.05[44],0.5 years,2021-06-01nixo,X,–,"general, server, desktop",None,Active
Novell Open Enterprise Server,Novell,"Novell, Inc. dev team",2003,OES 2018 SP1,?,?,X,SUSE Linux Enterprise Server,server,Commercial[45],Active
OpenELEC,"Stephan Raue, OpenELEC Team",OpenELEC Team,2011,8.0.4,?,2017-06-04,X,Kodi,multimedia,None,Inactive
openSUSE,SUSE Linux,openSUSE Project,2006,Leap 15.2[46],3 years[47],2020-07-02,X,SLS/Slackware,"general, desktop",None,Active
OpenWrt,?,OpenWrt team,2007,18.06.4[48],?,2019-07-01,X,–,embedded systems,None,Active
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,2013,4.1,?,2020-02-01,X,Mandriva Linux,general,None,Active
Oracle Linux,Oracle Corporation,Oracle Corporation,2006,8.1[49],?,2019-11-17,X,Red Hat Enterprise Linux (RHEL),server,None,Active
Parabola GNU/Linux-libre,Parabola Hackers,Parabola Hackers,2009,Rolling[50],Rolling,2017-05-28,100% Free: GNU FSDG[6] followed in Parabola Social Contract,Arch Linux,general,None,Active
Pardus,Scientific and Technological Research Council of Turkey (TÜBİTAK),TÜBİTAK,2005,19.1[51],?,2019-11-23,X,Gentoo (2011.2)  Debian,general,None,Active
Parrot OS,"Lorenzo ""Palinuro"" Faletra",Parrot Dev Team,2013,4.11.2,Rolling,2021-06-03,X,Debian,"security, desktop",None,Active
Parsix,Alan Baghumian,Parsix Project,2005,8.15,?,2017-01-25,X,Debian,desktop,None,Inactive
Parted Magic,Patrick Verner,Parted Magic LLC.,?,2020_12_25,?,2020-12-25,X,-,"live, maintenance",Commercial[52],Active
PCLinuxOS,Bill Reynolds,dev team,2003,2020.1015[53],Semi-rolling,2020-10-14,X,Mandriva Linux,desktop,None,Active
Pop! OS,Carl Ritchell,System76,2017,20.10[54],2 years for LTS releases.2–3 months after the next release for other releases.,2020-10-23,X,Ubuntu,"desktop, laptop",None,Active
Pentoo,"Michael Zanetta, Rick Farina, Jens Pranaitis",Pentoo,2005,2019.1,?,2019-01-17,X,Gentoo Linux,"auditing, security",None,Active
Porteus,Fanthom,Porteus,2010,4.0[55],?,2018-04-29,X,Slackware,"lightweight, portable",None,Active
Puppy Linux,Barry Kauler,Puppy Foundation,2003,8.0[56],?,2019-04-11,X,"Independent, inspired from Vector linux","lightweight, portable",None,Active
PureOS,Todd Weaver,Purism,2009,9.0[57],Stable and Rolling,2019-09-26,100% Free: GNU FSDG[6],Debian,"general, security, privacy",None,Active
Qubes OS,Joanna Rutkowska,Invisible Things Lab,2012,4.0.4[58],?,2019-01-23,X,Xen and Fedora,"security by compartmentalization, desktop",None,Active
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,2002,8.2,10 years[59],2020-04-28,X,"Red Hat Linux, Fedora","server, workstation",Commercial[60][61],Active
Red Hat Linux,Red Hat,Red Hat,1995,9,?,2003-03-31,X,–,"server, workstation",None,Inactive
ROSA,?,LLC NTC IT ROSA,2011,R11[62],?,2019-03-15,X,Mandriva,"server, general",None,Active
Rocks Cluster Distribution,"UCSD Supercomputing Center, Clustercorp","UCSD Supercomputing Center, Clustercorp",2000,7.0,?,2015-12-01,X,Red Hat Linux,"server, workstation",None,Active
Sabayon Linux,Fabio Erculiani,dev team,2005,19.03[63],?,2019-03-31,X,Gentoo Linux,general,None,Active
Salix OS,"Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder",Salix team,2009,14.2,?,2016-08-29,X,Slackware,general,None,?
Scientific Linux,"CERN, Fermilab",dev team,2004,7.6[64],?,2018-12-03,X,"Red Hat Linux, Red Hat Enterprise Linux (RHEL)","server, workstation",None,Inactive
Slackware,Patrick Volkerding,dev team,1993,14.2[65],?,2016-06-30,X,Softlanding Linux System (SLS),general,None,Active
Slax,Tomas Matejicek,Tomas Matejicek,2002,9.11.0[66],?,2019-09-14,X,"Debian, Slackware (until Slax 9)",live,None,Active
SliTaz GNU/Linux,Christophe Lincoln,dev team,2008,Rolling,Rolling,2017-12-03,X,Independent,portable,None,Active
Solus,Ikey Doherty,dev team,2005,Rolling,Rolling,2021-02-03,X,–,desktop,None,Active
SolydXK,Arjen Balfoort,dev team,2013,201902[67],Debian packages as per Debian,2019-03-03,X,Debian,desktop,None,Active
SparkyLinux,?,Sparky Linux team,2012,6.0[68],?,2021-08-19,X,Debian,"general, video games",None,Active
Source Mage GNU/Linux,"Ryan Abrams, Eric Schabell",dev team,2002,0.62-11,?,2017-10-22,Source Mage Social Contract,Sorcerer,general,None,Active
SteamOS,Valve,Valve,2013,2.195[69],?,2019-07-19,X,Debian,video games,None,Active
SUSE Linux Enterprise,SUSE,SUSE,2000,15SP2,13 years per version[70],2020-07-21,"Common code base for x86-64, Power, System z, Arm64","Slackware, Jurix","edge, workstation, server, supercomputer",Commercial[71],Active
Tails,?,Tails Development Team,2009,4.21[72],–[g 3],2021-08-10,X,Debian,security-focused aimed for anonymity and privacy,None,Active
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,2009,11.1,?,2020-04-01,X,"Independent, inspired from Damn Small Linux",portable,None,Active
Trisquel GNU/Linux,Rubén Rodríguez Pérez (quidam),Rubén Rodríguez Pérez (quidam),2005,9.0[g 4],3 years,2020-10-16,100% Free: GNU FSDG[6],Ubuntu LTS,desktop,None,Active
TurnKey GNU/Linux,"Alon Swartz, Liraz Siri",TurnKey GNU/Linux Team,2008,16.0 Release #12[73],Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),2020-12-22,Debian Social Contract and DFSG,Debian,server based software appliance library aiming to balance security and ease of use,None,Active
Ubuntu and Derivatives[74],Canonical Ltd.,Canonical Ltd.,2004,21.10[75],"Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years. Ubuntu Pro 10 years.",2021-04-22,X,Debian,"general, server, desktop, supercomputer, IBM mainframe",None,Active
Univention Corporate Server,Univention GmbH,Univention GmbH,2004,4.4-7[76],"up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[77]",2020-12-01,X,Debian,"home, business, and school",Core Edition is free of charge,Active
Ututo,"Diego Saravia, Daniel Olivera",UTUTO dev team,2000,XS 2012,?,2012-04-27,100% Free: GNU FSDG[6],"Ututo XS: Gentoo Linux, Ututo UL: Ubuntu",general,None,Inactive
VectorLinux,Robert S. Lange,dev team,1999,VL 7.2[78],?,2017-08-28,X,Slackware,desktop,None,Inactive
Void Linux,Juan Romero Pardines,Juan RP and contributors,2008,Rolling,Rolling,2019-11-09,X,"Independent, partially inspired by FreeBSD/NetBSD",general,None,Active
Webconverger,Kai Hendry,Webconverger Limited,2007,35.0,?,2016-05-19,X,Debian,"kiosk software, digital signage",Commercial,Inactive
Xandros,Xandros Incorporated,Xandros Incorporated,2001,?,?,2007-07-26,X,Corel Linux,?,Commercial,Inactive
Zentyal,eBox Technologies,eBox Technologies,2005,6.2[79],?,2020-06-04,X,"Debian, Ubuntu",small business server,Some editions are free of charge,?
Zenwalk,Jean-Philippe Guillemin,dev team,2004,Rolling[80],?,2020-12-10,X,Slackware,general,None,Active
Zorin OS,Zorin Group,Zorin Group,2009,OS 15.3[81],?,2020-10-08,X,Ubuntu,"general, desktop","Zorin OS Lite & Core are free, while Business and Ultimate are paid",Active
